Year Code	Age Group Code	State Code	Gender Code	Race Code	Deaths	Population	Crude Rate
1999	75-84	6	M	A-PI	19	48810	38.9 (Unreliable)
1999	75-84	6	M	2054-5	29	22686	127.8
1999	75-84	6	M	2106-3	607	443359	136.9
1999	75-84	8	F	2106-3	171	79637	214.7
1999	75-84	8	M	2106-3	100	54327	184.1
1999	75-84	9	F	2106-3	100	100868	99.1
1999	75-84	9	M	2106-3	56	64443	86.9
1999	75-84	10	F	2106-3	22	18190	120.9
1999	75-84	10	M	2106-3	19	12153	156.3 (Unreliable)
1999	75-84	12	F	2054-5	30	32667	91.8
1999	75-84	12	F	2106-3	625	545628	114.5
1999	75-84	12	M	2054-5	22	19256	114.3
1999	75-84	12	M	2106-3	412	409556	100.6
1999	75-84	13	F	2054-5	38	32852	115.7
1999	75-84	13	F	2106-3	217	131968	164.4
1999	75-84	13	M	2054-5	18	16221	111.0 (Unreliable)
1999	75-84	13	M	2106-3	139	78500	177.1
1999	75-84	15	F	A-PI	15	23377	64.2 (Unreliable)
1999	75-84	15	F	2106-3	11	7571	145.3 (Unreliable)
1999	75-84	16	F	2106-3	61	29440	207.2
1999	75-84	16	M	2106-3	32	21302	150.2
1999	75-84	17	F	2054-5	30	30467	98.5
1999	75-84	17	F	2106-3	371	294178	126.1
1999	75-84	17	M	2054-5	11	17621	62.4 (Unreliable)
1999	75-84	17	M	2106-3	235	182801	128.6
1999	75-84	18	F	2106-3	252	154473	163.1
1999	75-84	18	M	2106-3	128	94923	134.8
1999	75-84	19	F	2106-3	127	95962	132.3
1999	75-84	19	M	2106-3	100	61623	162.3
1999	75-84	20	F	2106-3	105	74687	140.6
1999	75-84	20	M	2106-3	58	48641	119.2
1999	75-84	21	F	2106-3	164	100681	162.9
1999	75-84	21	M	2106-3	88	61316	143.5
1999	75-84	22	F	2054-5	31	23826	130.1
1999	75-84	22	F	2106-3	141	82414	171.1
1999	75-84	22	M	2054-5	13	13827	94.0 (Unreliable)
1999	75-84	22	M	2106-3	85	51875	163.9
1999	75-84	23	F	2106-3	96	37816	253.9
1999	75-84	23	M	2106-3	47	24794	189.6
1999	75-84	24	F	2054-5	27	21155	127.6
1999	75-84	24	F	2106-3	135	104248	129.5
1999	75-84	24	M	2106-3	67	66620	100.6
1999	75-84	25	F	2106-3	247	186852	132.2
1999	75-84	25	M	2106-3	144	113888	126.4
1999	75-84	26	F	2054-5	24	24526	97.9
1999	75-84	26	F	2106-3	317	235902	134.4
1999	75-84	26	M	2106-3	175	150619	116.2
1999	75-84	27	F	2106-3	190	125661	151.2
1999	75-84	27	M	2106-3	135	82872	162.9
1999	75-84	28	F	2054-5	17	18346	92.7 (Unreliable)
1999	75-84	28	F	2106-3	66	53830	122.6
1999	75-84	28	M	2106-3	39	32004	121.9
1999	75-84	29	F	2054-5	12	10936	109.7 (Unreliable)
1999	75-84	29	F	2106-3	179	149671	119.6
1999	75-84	29	M	2106-3	133	94799	140.3
1999	75-84	30	F	2106-3	43	24326	176.8
1999	75-84	30	M	2106-3	24	17608	136.3
1999	75-84	31	F	2106-3	63	48635	129.5
1999	75-84	31	M	2106-3	37	32047	115.5
1999	75-84	32	F	2106-3	45	35201	127.8
1999	75-84	32	M	2106-3	27	28063	96.2
1999	75-84	33	F	2106-3	53	30461	174
1999	75-84	33	M	2106-3	31	20013	154.9
1999	75-84	34	F	2054-5	14	18725	74.8 (Unreliable)
1999	75-84	34	F	2106-3	227	222547	102
1999	75-84	34	M	2106-3	122	138729	87.9
1999	75-84	35	F	2106-3	65	37568	173
1999	75-84	35	M	2106-3	22	27965	78.7
1999	75-84	36	F	2054-5	12	56852	21.1 (Unreliable)
1999	75-84	36	F	2106-3	272	454901	59.8
1999	75-84	36	M	2106-3	146	286746	50.9
1999	75-84	37	F	2054-5	57	33660	169.3
1999	75-84	37	F	2106-3	313	168764	185.5
1999	75-84	37	M	2054-5	19	17301	109.8 (Unreliable)
1999	75-84	37	M	2106-3	145	103744	139.8
1999	75-84	38	F	2106-3	28	19664	142.4
1999	75-84	38	M	2106-3	21	13746	152.8
1999	75-84	39	F	2054-5	40	24339	164.3
1999	75-84	39	F	2106-3	421	305237	137.9
1999	75-84	39	M	2054-5	24	14661	163.7
1999	75-84	39	M	2106-3	269	189382	142
1999	75-84	40	F	2106-3	121	85528	141.5
1999	75-84	40	M	2106-3	64	56170	113.9
1999	75-84	41	F	2106-3	194	91796	211.3
1999	75-84	41	M	2106-3	124	64427	192.5
1999	75-84	42	F	2054-5	24	26564	90.3
1999	75-84	42	F	2106-3	481	408633	117.7
1999	75-84	42	M	2106-3	250	253312	98.7
1999	75-84	44	F	2106-3	37	34703	106.6
1999	75-84	44	M	2106-3	20	21077	94.9
1999	75-84	45	F	2054-5	29	22278	130.2
1999	75-84	45	F	2106-3	135	77805	173.5
1999	75-84	45	M	2054-5	12	12153	98.7 (Unreliable)
1999	75-84	45	M	2106-3	79	49152	160.7
1999	75-84	46	F	2106-3	32	22218	144
1999	75-84	46	M	2106-3	20	15700	127.4
1999	75-84	47	F	2054-5	19	15747	120.7 (Unreliable)
1999	75-84	47	F	2106-3	212	132623	159.9
1999	75-84	47	M	2054-5	13	8455	153.8 (Unreliable)
1999	75-84	47	M	2106-3	133	79784	166.7
1999	75-84	48	F	2054-5	34	34303	99.1
1999	75-84	48	F	2106-3	611	373369	163.6
1999	75-84	48	M	2054-5	14	19878	70.4 (Unreliable)
1999	75-84	48	M	2106-3	364	246846	147.5
1999	75-84	49	F	2106-3	56	37175	150.6
1999	75-84	49	M	2106-3	46	27162	169.4
1999	75-84	50	F	2106-3	30	15920	188.4
1999	75-84	50	M	2106-3	13	10372	125.3 (Unreliable)
1999	75-84	51	F	2054-5	31	25513	121.5
1999	75-84	51	F	2106-3	217	137291	158.1
1999	75-84	51	M	2106-3	114	86207	132.2
1999	75-84	53	F	2106-3	301	133463	225.5
1999	75-84	53	M	2106-3	199	92702	214.7
1999	75-84	54	F	2106-3	77	57354	134.3
1999	75-84	54	M	2106-3	46	35837	128.4
1999	75-84	55	F	2106-3	229	148028	154.7
1999	75-84	55	M	2106-3	126	96735	130.3
1999	75-84	56	F	2106-3	12	10993	109.2 (Unreliable)
1999	75-84	56	M	2106-3	20	7989	250.3
1999	85+	1	F	2054-5	40	10680	374.5
1999	85+	1	F	2106-3	265	37501	706.6
1999	85+	1	M	2054-5	16	4166	384.1 (Unreliable)
1999	85+	1	M	2106-3	66	13501	488.9
1999	85+	4	F	2106-3	382	42259	903.9
1999	85+	4	M	2106-3	146	21135	690.8
1999	85+	5	F	2054-5	14	4165	336.1 (Unreliable)
1999	85+	5	F	2106-3	165	28337	582.3
1999	85+	5	M	2106-3	40	11435	349.8
1999	85+	6	F	A-PI	30	16649	180.2
1999	85+	6	F	2054-5	68	13734	495.1
1999	85+	6	F	2106-3	1783	251989	707.6
1999	85+	6	M	A-PI	22	11320	194.3
1999	85+	6	M	2054-5	27	5377	502.1
1999	85+	6	M	2106-3	624	112374	555.3
1999	85+	8	F	2054-5	11	615	1788.6 (Unreliable)
1999	85+	8	F	2106-3	310	32625	950.2
1999	85+	8	M	2106-3	104	13369	777.9
1999	85+	9	F	2106-3	193	43722	441.4
1999	85+	9	M	2106-3	56	16710	335.1
1999	85+	10	F	2106-3	38	6532	581.8
1999	85+	10	M	2106-3	13	2549	510.0 (Unreliable)
1999	85+	11	F	2054-5	11	3997	275.2 (Unreliable)
1999	85+	11	F	2106-3	15	2321	646.3 (Unreliable)
1999	85+	12	F	2054-5	41	12589	325.7
1999	85+	12	F	2106-3	1255	200919	624.6
1999	85+	12	M	2054-5	21	4979	421.8
1999	85+	12	M	2106-3	430	103142	416.9
1999	85+	13	F	2054-5	59	14270	413.5
1999	85+	13	F	2106-3	387	50175	771.3
1999	85+	13	M	2054-5	22	4652	472.9
1999	85+	13	M	2106-3	101	17022	593.3
1999	85+	15	F	A-PI	22	7235	304.1
1999	85+	15	F	2106-3	18	2560	703.1 (Unreliable)
1999	85+	15	M	A-PI	12	5579	215.1 (Unreliable)
1999	85+	16	F	2106-3	88	11648	755.5
1999	85+	16	M	2106-3	49	5780	847.8
1999	85+	17	F	2054-5	51	10907	467.6
1999	85+	17	F	2106-3	810	124662	649.8
1999	85+	17	M	2054-5	10	4203	237.9 (Unreliable)
1999	85+	17	M	2106-3	241	46783	515.1
1999	85+	18	F	2054-5	22	3269	673
1999	85+	18	F	2106-3	465	62199	747.6
1999	85+	18	M	2106-3	122	23381	521.8
1999	85+	19	F	2106-3	322	46697	689.6
1999	85+	19	M	2106-3	109	17644	617.8
1999	85+	20	F	2106-3	220	35867	613.4
1999	85+	20	M	2106-3	69	13994	493.1
1999	85+	21	F	2106-3	313	39408	794.3
1999	85+	21	M	2106-3	94	14730	638.2
1999	85+	22	F	2054-5	32	9933	322.2
1999	85+	22	F	2106-3	229	31280	732.1
1999	85+	22	M	2054-5	13	4336	299.8 (Unreliable)
1999	85+	22	M	2106-3	69	11557	597
1999	85+	23	F	2106-3	206	16625	1239.1
1999	85+	23	M	2106-3	47	6215	756.2
1999	85+	24	F	2054-5	24	7694	311.9
1999	85+	24	F	2106-3	264	39164	674.1
1999	85+	24	M	2106-3	83	15123	548.8
1999	85+	25	F	2054-5	11	1714	641.8 (Unreliable)
1999	85+	25	F	2106-3	551	82183	670.5
1999	85+	25	M	2106-3	119	29005	410.3
1999	85+	26	F	2054-5	32	8640	370.4
1999	85+	26	F	2106-3	564	91010	619.7
1999	85+	26	M	2106-3	167	35991	464
1999	85+	27	F	2106-3	517	60287	857.6
1999	85+	27	M	2106-3	138	23543	586.2
1999	85+	28	F	2054-5	19	8693	218.6 (Unreliable)
1999	85+	28	F	2106-3	123	21898	561.7
1999	85+	28	M	2106-3	21	7482	280.7
1999	85+	29	F	2054-5	14	4523	309.5 (Unreliable)
1999	85+	29	F	2106-3	380	66499	571.4
1999	85+	29	M	2106-3	111	24771	448.1
1999	85+	30	F	2106-3	86	10113	850.4
1999	85+	30	M	2106-3	35	4648	753
1999	85+	31	F	2106-3	158	24057	656.8
1999	85+	31	M	2106-3	46	9261	496.7
1999	85+	32	F	2106-3	53	10252	517
1999	85+	32	M	2106-3	26	5007	519.3
1999	85+	33	F	2106-3	129	12965	995
1999	85+	33	M	2106-3	34	4849	701.2
1999	85+	34	F	2054-5	27	6826	395.5
1999	85+	34	F	2106-3	412	87341	471.7
1999	85+	34	M	2106-3	127	34542	367.7
1999	85+	35	F	2106-3	99	14288	692.9
1999	85+	35	M	2106-3	32	6807	470.1
1999	85+	36	F	2054-5	17	20424	83.2 (Unreliable)
1999	85+	36	F	2106-3	602	195474	308
1999	85+	36	M	2106-3	164	75975	215.9
1999	85+	37	F	2054-5	72	13244	543.6
1999	85+	37	F	2106-3	559	63372	882.1
1999	85+	37	M	2054-5	15	4506	332.9 (Unreliable)
1999	85+	37	M	2106-3	143	21811	655.6
1999	85+	38	F	2106-3	73	9988	730.9
1999	85+	38	M	2106-3	26	4485	579.7
1999	85+	39	F	2054-5	55	8986	612.1
1999	85+	39	F	2106-3	830	117497	706.4
1999	85+	39	M	2054-5	14	3303	423.9 (Unreliable)
1999	85+	39	M	2106-3	261	43506	599.9
1999	85+	40	F	2054-5	10	1913	522.7 (Unreliable)
1999	85+	40	F	2106-3	192	37697	509.3
1999	85+	40	M	2106-3	75	14388	521.3
1999	85+	41	F	2106-3	371	37870	979.7
1999	85+	41	M	2106-3	120	17299	693.7
1999	85+	42	F	2054-5	40	9651	414.5
1999	85+	42	F	2106-3	946	158593	596.5
1999	85+	42	M	2106-3	243	59906	405.6
1999	85+	44	F	2106-3	114	14975	761.3
1999	85+	44	M	2106-3	27	5169	522.3
1999	85+	45	F	2054-5	38	8797	432
1999	85+	45	F	2106-3	252	27192	926.7
