Year Code	Age Group Code	State Code	Gender Code	Race Code	Deaths	Population	Crude Rate
2007	75-84	26	F	2106-3	19	237994	8.0 (Unreliable)
2007	75-84	26	M	2106-3	25	168724	14.8
2007	75-84	27	M	2106-3	10	91201	11.0 (Unreliable)
2007	75-84	34	M	2106-3	12	143644	8.4 (Unreliable)
2007	75-84	36	F	2106-3	19	446263	4.3 (Unreliable)
2007	75-84	36	M	2106-3	13	303880	4.3 (Unreliable)
2007	75-84	39	F	2106-3	20	301369	6.6
2007	75-84	39	M	2106-3	19	205472	9.2 (Unreliable)
2007	75-84	41	F	2106-3	10	92856	10.8 (Unreliable)
2007	75-84	42	F	2106-3	27	391978	6.9
2007	75-84	42	M	2106-3	24	265054	9.1
2007	75-84	48	F	2106-3	24	415852	5.8
2007	75-84	48	M	2106-3	37	299271	12.4
2007	75-84	55	M	2106-3	13	106554	12.2 (Unreliable)
2007	85+	6	F	2054-5	16	16452	97.3 (Unreliable)
2007	85+	6	F	2106-3	65	300014	21.7
2007	85+	6	M	A-PI	11	20377	54.0 (Unreliable)
2007	85+	6	M	2106-3	65	156521	41.5
2007	85+	12	F	2106-3	33	232764	14.2
2007	85+	12	M	2106-3	27	133253	20.3
2007	85+	13	F	2106-3	12	58912	20.4 (Unreliable)
2007	85+	13	M	2106-3	10	24150	41.4 (Unreliable)
2007	85+	17	F	2106-3	28	138980	20.1
2007	85+	17	M	2106-3	15	59575	25.2 (Unreliable)
2007	85+	18	M	2106-3	17	30346	56.0 (Unreliable)
2007	85+	19	F	2106-3	10	49971	20.0 (Unreliable)
2007	85+	21	F	2106-3	15	43330	34.6 (Unreliable)
2007	85+	25	M	2106-3	10	38865	25.7 (Unreliable)
2007	85+	26	F	2106-3	25	110128	22.7
2007	85+	26	M	2106-3	26	49372	52.7
2007	85+	27	F	2106-3	20	68041	29.4
2007	85+	27	M	2106-3	16	30557	52.4 (Unreliable)
2007	85+	29	F	2106-3	15	69927	21.5 (Unreliable)
2007	85+	29	M	2106-3	10	30473	32.8 (Unreliable)
